datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2023/11/26,50.875,44,49.791666666666664,50.541666666666664,50.708333333333336,44.208333333333336,46.416666666666664,50.416666666666664,51.833333333333336,36.291666666666664,47.50833333333333
2023/11/27,66.45833333333333,65.54166666666667,69.91666666666667,66.125,69.5,61.541666666666664,81.79166666666667,71.25,66.08333333333333,45.166666666666664,66.33749999999999
2023/11/28,49.270833333333336,67.33333333333333,63.708333333333336,61.458333333333336,61.666666666666664,54.666666666666664,74.77083333333333,61.208333333333336,63.416666666666664,38.583333333333336,59.60833333333333
2023/11/29,52.583333333333336,53.25,56.25,63.5,52.041666666666664,60.083333333333336,54.458333333333336,56.416666666666664,59.333333333333336,43.416666666666664,55.13333333333333
2023/11/30,41.583333333333336,37.15277777791667,41.291666666666664,42.666666666666664,44,30.5,39.208333333333336,36.916666666666664,40.166666666666664,33.625,38.71111111
2023/12/1,25.125,19.055555555416667,25.333333333333332,28.541666666666668,25.333333333333332,24.083333333333332,27.458333333333332,25.916666666666668,29.583333333333332,21.958333333333332,25.23888889
2023/12/2,47.833333333333336,42.833333333333336,50.166666666666664,56.25,46.416666666666664,47.958333333333336,48.208333333333336,51.208333333333336,48.833333333333336,40.708333333333336,48.041666666666664
2023/12/3,68.16666666666667,67.45833333333333,70.70833333333333,76.16666666666667,68.54166666666667,64.75,65.79166666666667,70.58333333333333,73.5,55.75,68.14166666666667
2023/12/4,69.66666666666667,68.75,70.125,75.04166666666667,70.08333333333333,67.125,65.29166666666667,68.66666666666667,73.125,55.333333333333336,68.32083333333334
2023/12/5,53.375,52.333333333333336,54.166666666666664,55.666666666666664,53.833333333333336,54.583333333333336,58.270833333333336,46.666666666666664,53.25,40.458333333333336,52.260416666666664
2023/12/6,51.166666666666664,54.375,54.541666666666664,52.625,57.458333333333336,57.666666666666664,56.666666666666664,50.208333333333336,53.25,35.083333333333336,52.30416666666667
2023/12/7,52.041666666666664,44.75,54.75,49.625,45.916666666666664,44.916666666666664,62.375,46,47.416666666666664,41.75,48.95416666666667
2023/12/8,32.333333333333336,29.354166666666668,39.458333333333336,32.583333333333336,32.958333333333336,38.25,40.916666666666664,33.291666666666664,36.541666666666664,30.75,34.643750000000004
